"시점","dt","mid_addr","sum_","avg_"
최근,"2023",강정동,2364,262.6667
최근,"2022",강정동,2442,244.2000
최근,"2021",강정동,2392,217.4545
최근,"2020",강정동,2021,183.7273
최근,"2019",강정동,1806,150.5000
최근,"2018",강정동,1387,126.0909
과거,"2014",강정동,436,48.4444
과거,"2013",강정동,374,41.5556
과거,"2012",강정동,325,36.1111
과거,"2011",강정동,141,28.2000
과거,"2010",강정동,103,25.7500
과거,"2009",강정동,23,23.0000
최근,"2023",건입동,2090,232.2222
최근,"2022",건입동,2131,213.1000
최근,"2021",건입동,1597,199.6250
최근,"2020",건입동,1694,188.2222
최근,"2019",건입동,1617,179.6667
최근,"2018",건입동,1682,168.2000
과거,"2014",건입동,1212,121.2000
과거,"2013",건입동,912,114.0000
과거,"2012",건입동,883,110.3750
과거,"2011",건입동,727,103.8571
과거,"2010",건입동,1103,100.2727
과거,"2009",건입동,579,96.5000
최근,"2023",구좌읍,7789,865.4444
최근,"2022",구좌읍,9316,776.3333
최근,"2021",구좌읍,7909,659.0833
최근,"2020",구좌읍,6776,564.6667
최근,"2019",구좌읍,5867,488.9167
최근,"2018",구좌읍,4923,410.2500
과거,"2014",구좌읍,1978,164.8333
과거,"2013",구좌읍,1550,140.9091
과거,"2012",구좌읍,1333,121.1818
과거,"2011",구좌읍,1088,108.8000
과거,"2010",구좌읍,1024,102.4000
과거,"2009",구좌읍,952,95.2000
최근,"2023",남원읍,3730,466.2500
최근,"2022",남원읍,5098,424.8333
최근,"2021",남원읍,4522,376.8333
최근,"2020",남원읍,4000,333.3333
최근,"2019",남원읍,3480,290.0000
최근,"2018",남원읍,2808,255.2727
과거,"2014",남원읍,1491,149.1000
과거,"2013",남원읍,1658,138.1667
과거,"2012",남원읍,1388,126.1818
과거,"2011",남원읍,1013,112.5556
과거,"2010",남원읍,831,103.8750
과거,"2009",남원읍,774,96.7500
최근,"2023",내도동,102,34.0000
최근,"2022",내도동,116,29.0000
최근,"2021",내도동,94,23.5000
최근,"2020",내도동,78,19.5000
최근,"2019",내도동,77,15.4000
최근,"2018",내도동,48,12.0000
과거,"2014",내도동,5,5.0000
과거,"2013",내도동,9,4.5000
과거,"2012",내도동,8,4.0000
과거,"2010",내도동,4,4.0000
최근,"2023",노형동,11443,1271.4444
최근,"2022",노형동,14140,1178.3333
최근,"2021",노형동,12935,1077.9167
최근,"2020",노형동,11490,957.5000
최근,"2019",노형동,10060,838.3333
최근,"2018",노형동,8927,743.9167
과거,"2014",노형동,5966,497.1667
과거,"2013",노형동,5493,457.7500
과거,"2012",노형동,5130,427.5000
과거,"2011",노형동,4760,396.6667
과거,"2010",노형동,3978,361.6364
과거,"2009",노형동,4001,333.4167
최근,"2023",대정읍,5906,656.2222
최근,"2022",대정읍,7109,592.4167
최근,"2021",대정읍,6271,522.5833
최근,"2020",대정읍,5441,453.4167
최근,"2019",대정읍,4787,398.9167
최근,"2018",대정읍,4124,343.6667
과거,"2014",대정읍,2306,192.1667
과거,"2013",대정읍,2102,175.1667
과거,"2012",대정읍,1981,165.0833
과거,"2011",대정읍,1798,149.8333
과거,"2010",대정읍,1523,138.4545
과거,"2009",대정읍,1274,127.4000
최근,"2023",대포동,66,66.0000
최근,"2022",대포동,364,60.6667
최근,"2021",대포동,327,54.5000
최근,"2020",대포동,249,49.8000
최근,"2019",대포동,296,42.2857
최근,"2018",대포동,151,37.7500
과거,"2014",대포동,112,28.0000
과거,"2013",대포동,50,25.0000
과거,"2012",대포동,67,22.3333
과거,"2011",대포동,38,19.0000
과거,"2010",대포동,18,18.0000
과거,"2009",대포동,52,17.3333
최근,"2023",도남동,2695,299.4444
최근,"2022",도남동,3326,277.1667
최근,"2021",도남동,2735,248.6364
최근,"2020",도남동,2541,231.0000
최근,"2019",도남동,1912,212.4444
최근,"2018",도남동,2079,189.0000
과거,"2014",도남동,1241,137.8889
과거,"2013",도남동,1267,126.7000
과거,"2012",도남동,715,119.1667
과거,"2011",도남동,1015,112.7778
과거,"2010",도남동,844,105.5000
과거,"2009",도남동,983,98.3000
최근,"2023",도두이동,75,37.5000
최근,"2022",도두이동,102,34.0000
최근,"2021",도두이동,62,31.0000
최근,"2020",도두이동,84,28.0000
최근,"2019",도두이동,72,24.0000
최근,"2018",도두이동,62,20.6667
과거,"2014",도두이동,12,12.0000
과거,"2013",도두이동,11,11.0000
과거,"2012",도두이동,30,10.0000
과거,"2010",도두이동,9,9.0000
과거,"2009",도두이동,9,9.0000
최근,"2023",도두일동,731,146.2000
최근,"2022",도두일동,835,139.1667
최근,"2021",도두일동,1273,127.3000
최근,"2020",도두일동,1148,114.8000
최근,"2019",도두일동,1164,105.8182
최근,"2018",도두일동,695,99.2857
과거,"2014",도두일동,434,62.0000
과거,"2013",도두일동,332,55.3333
과거,"2012",도두일동,372,46.5000
과거,"2011",도두일동,246,35.1429
과거,"2010",도두일동,121,30.2500
과거,"2009",도두일동,117,29.2500
최근,"2023",도련이동,19,19.0000
최근,"2021",도련이동,67,16.7500
최근,"2020",도련이동,31,15.5000
