lately,mid_addr,cum_operaCnt,past,mid_addr,cum_operaCnt
2023,강정동,2364.0,2014,강정동,436.0
2022,강정동,2442.0,2013,강정동,374.0
2021,강정동,2392.0,2012,강정동,325.0
2020,강정동,2021.0,2011,강정동,141.0
2019,강정동,1806.0,2010,강정동,103.0
2018,강정동,1387.0,2009,강정동,23.0
2023,건입동,2090.0,2014,건입동,1212.0
2022,건입동,2131.0,2013,건입동,912.0
2021,건입동,1597.0,2012,건입동,883.0
2020,건입동,1694.0,2011,건입동,727.0
2019,건입동,1617.0,2010,건입동,1103.0
2018,건입동,1682.0,2009,건입동,579.0
2023,구좌읍,7789.0,2014,구좌읍,1978.0
2022,구좌읍,9316.0,2013,구좌읍,1550.0
2021,구좌읍,7909.0,2012,구좌읍,1333.0
2020,구좌읍,6776.0,2011,구좌읍,1088.0
2019,구좌읍,5867.0,2010,구좌읍,1024.0
2018,구좌읍,4923.0,2009,구좌읍,952.0
2023,남원읍,3730.0,2014,남원읍,1491.0
2022,남원읍,5098.0,2013,남원읍,1658.0
2021,남원읍,4522.0,2012,남원읍,1388.0
2020,남원읍,4000.0,2011,남원읍,1013.0
2019,남원읍,3480.0,2010,남원읍,831.0
2018,남원읍,2808.0,2009,남원읍,774.0
2023,내도동,102.0,2014,내도동,5.0
2022,내도동,116.0,2013,내도동,9.0
2021,내도동,94.0,2012,내도동,8.0
2020,내도동,78.0,2010,내도동,4.0
2019,내도동,77.0,2014,노형동,5966.0
2018,내도동,48.0,2013,노형동,5493.0
2023,노형동,11443.0,2012,노형동,5130.0
2022,노형동,14140.0,2011,노형동,4760.0
2021,노형동,12935.0,2010,노형동,3978.0
2020,노형동,11490.0,2009,노형동,4001.0
2019,노형동,10060.0,2014,대정읍,2306.0
2018,노형동,8927.0,2013,대정읍,2102.0
2023,대정읍,5906.0,2012,대정읍,1981.0
2022,대정읍,7109.0,2011,대정읍,1798.0
2021,대정읍,6271.0,2010,대정읍,1523.0
2020,대정읍,5441.0,2009,대정읍,1274.0
2019,대정읍,4787.0,2014,대포동,112.0
2018,대정읍,4124.0,2013,대포동,50.0
2023,대포동,66.0,2012,대포동,67.0
2022,대포동,364.0,2011,대포동,38.0
2021,대포동,327.0,2010,대포동,18.0
2020,대포동,249.0,2009,대포동,52.0
2019,대포동,296.0,2014,도남동,1241.0
2018,대포동,151.0,2013,도남동,1267.0
2023,도남동,2695.0,2012,도남동,715.0
2022,도남동,3326.0,2011,도남동,1015.0
2021,도남동,2735.0,2010,도남동,844.0
2020,도남동,2541.0,2009,도남동,983.0
2019,도남동,1912.0,2014,도두이동,12.0
2018,도남동,2079.0,2013,도두이동,11.0
2023,도두이동,75.0,2012,도두이동,30.0
2022,도두이동,102.0,2010,도두이동,9.0
2021,도두이동,62.0,2009,도두이동,9.0
2020,도두이동,84.0,2014,도두일동,434.0
2019,도두이동,72.0,2013,도두일동,332.0
2018,도두이동,62.0,2012,도두일동,372.0
